date,fund_label,scheme_code,scheme_name,nav,source,source_quality
2017-12-05,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.6616,MFAPI,CACHE_FRESH
2017-12-06,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.5003,MFAPI,CACHE_FRESH
2017-12-07,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.9782,MFAPI,CACHE_FRESH
2017-12-08,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.4512,MFAPI,CACHE_FRESH
2017-12-11,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.4587,MFAPI,CACHE_FRESH
2017-12-12,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.1672,MFAPI,CACHE_FRESH
2017-12-13,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.0374,MFAPI,CACHE_FRESH
2017-12-14,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.9715,MFAPI,CACHE_FRESH
2017-12-15,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.356,MFAPI,CACHE_FRESH
2017-12-18,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.7177,MFAPI,CACHE_FRESH
2017-12-19,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.4851,MFAPI,CACHE_FRESH
2017-12-20,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.8713,MFAPI,CACHE_FRESH
2017-12-21,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.3623,MFAPI,CACHE_FRESH
2017-12-22,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.6635,MFAPI,CACHE_FRESH
2017-12-26,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,50.1222,MFAPI,CACHE_FRESH
2017-12-27,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.666,MFAPI,CACHE_FRESH
2017-12-28,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.7088,MFAPI,CACHE_FRESH
2017-12-29,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.9425,MFAPI,CACHE_FRESH
2018-01-01,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.9633,MFAPI,CACHE_FRESH
2018-01-02,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.6423,MFAPI,CACHE_FRESH
2018-01-03,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,50.1278,MFAPI,CACHE_FRESH
2018-01-04,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,50.5887,MFAPI,CACHE_FRESH
2018-01-05,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.1796,MFAPI,CACHE_FRESH
2018-01-08,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.7475,MFAPI,CACHE_FRESH
2018-01-09,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.7371,MFAPI,CACHE_FRESH
2018-01-10,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.7097,MFAPI,CACHE_FRESH
2018-01-11,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.9508,MFAPI,CACHE_FRESH
2018-01-12,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.9192,MFAPI,CACHE_FRESH
2018-01-15,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,52.1683,MFAPI,CACHE_FRESH
2018-01-16,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.2039,MFAPI,CACHE_FRESH
2018-01-17,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.4051,MFAPI,CACHE_FRESH
2018-01-18,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,50.4352,MFAPI,CACHE_FRESH
2018-01-19,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,50.6617,MFAPI,CACHE_FRESH
2018-01-22,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,50.9937,MFAPI,CACHE_FRESH
2018-01-23,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,51.358,MFAPI,CACHE_FRESH
2018-01-24,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,50.8854,MFAPI,CACHE_FRESH
2018-01-25,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,50.3569,MFAPI,CACHE_FRESH
2018-01-29,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.8851,MFAPI,CACHE_FRESH
2018-01-30,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.1677,MFAPI,CACHE_FRESH
2018-01-31,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.7779,MFAPI,CACHE_FRESH
2018-02-01,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.9683,MFAPI,CACHE_FRESH
